Month;Price;
01/12/1992;5724;
01/01/1993;5931;
01/02/1993;6039;
01/03/1993;5971;
01/04/1993;5972;
01/05/1993;5763;
01/06/1993;5532;
01/07/1993;5036;
01/08/1993;4722;
01/09/1993;4353;
01/10/1993;4449;
01/11/1993;4634;
01/12/1993;5119;
01/01/1994;5578;
01/02/1994;5825;
01/03/1994;5588;
01/04/1994;5408;
01/05/1994;6087;
01/06/1994;6282;
01/07/1994;6227;
01/08/1994;5860;
01/09/1994;6365;
01/10/1994;6748;
01/11/1994;7556;
01/12/1994;8556;
01/01/1995;9593;
01/02/1995;8505;
01/03/1995;7532;
01/04/1995;7398;
01/05/1995;7232;
01/06/1995;7872;
01/07/1995;8597;
01/08/1995;8945;
01/09/1995;8405;
01/10/1995;8062;
01/11/1995;8506;
01/12/1995;8091;
01/01/1996;7862;
01/02/1996;8216;
01/03/1996;8022;
01/04/1996;8043;
01/05/1996;8027;
01/06/1996;7709;
01/07/1996;7204;
01/08/1996;7054;
01/09/1996;7318;
01/10/1996;7031;
01/11/1996;6943;
01/12/1996;6581;
01/01/1997;7072;
01/02/1997;7735;
01/03/1997;7896;
01/04/1997;7316;
01/05/1997;7483;
01/06/1997;7062;
01/07/1997;6836;
01/08/1997;6761;
01/09/1997;6504;
01/10/1997;6380;
01/11/1997;6140;
01/12/1997;5945;
01/01/1998;5492;
01/02/1998;5387;
01/03/1998;5396;
01/04/1998;5394;
01/05/1998;5020;
01/06/1998;4476;
01/07/1998;4325;
01/08/1998;4081;
01/09/1998;4102;
01/10/1998;3872;
01/11/1998;4132;
01/12/1998;3878;
01/01/1999;4269;
01/02/1999;4626;
01/03/1999;5011;
01/04/1999;5103;
01/05/1999;5399;
01/06/1999;5195;
01/07/1999;5700;
01/08/1999;6449;
01/09/1999;7028;
01/10/1999;7321;
01/11/1999;7950;
01/12/1999;8083;
01/01/2000;8310;
01/02/2000;9653;
01/03/2000;10280;
01/04/2000;9728;
01/05/2000;10130;
01/06/2000;8411;
01/07/2000;8164;
01/08/2000;8007;
01/09/2000;8638;
01/10/2000;7678;
01/11/2000;7340;
01/12/2000;7314;
01/01/2001;6995;
01/02/2001;6524;
01/03/2001;6134;
01/04/2001;6330;
01/05/2001;7061;
01/06/2001;6641;
01/07/2001;5937;
01/08/2001;5521;
01/09/2001;5027;
01/10/2001;4825;
01/11/2001;5078;
01/12/2001;5264;
01/01/2002;6043;
01/02/2002;6029;
01/03/2002;6538;
01/04/2002;6958;
01/05/2002;6761;
01/06/2002;7120;
01/07/2002;7143;
01/08/2002;6717;
01/09/2002;6640;
01/10/2002;6804;
01/11/2002;7314;
01/12/2002;7193;
01/01/2003;8026;
01/02/2003;8623;
01/03/2003;8379;
01/04/2003;7910;
01/05/2003;8331;
01/06/2003;8875;
01/07/2003;8797;
01/08/2003;9351;
01/09/2003;9965;
01/10/2003;11047;
01/11/2003;12087;
01/12/2003;14163;
01/01/2004;15327;
01/02/2004;15145;
01/03/2004;13715;
01/04/2004;12848;
01/05/2004;11118;
01/06/2004;13534;
01/07/2004;15023;
01/08/2004;13680;
01/09/2004;13271;
01/10/2004;14404;
01/11/2004;14045;
01/12/2004;13769;
01/01/2005;14505;
01/02/2005;15350;
01/03/2005;16191;
01/04/2005;16142;
01/05/2005;16932;
01/06/2005;16160;
01/07/2005;14581;
01/08/2005;14893;
01/09/2005;14228;
01/10/2005;12403;
01/11/2005;12116;
01/12/2005;13429;
01/01/2006;14555;
01/02/2006;14979;
01/03/2006;14897;
01/04/2006;17942;
01/05/2006;21077;
01/06/2006;20755;
01/07/2006;26586;
01/08/2006;30744;
01/09/2006;30131;
01/10/2006;32703;
01/11/2006;32114;
01/12/2006;34570;
01/01/2007;36811;
01/02/2007;41184;
01/03/2007;46325;
01/04/2007;50267;
01/05/2007;52179;
01/06/2007;41719;
01/07/2007;33426;
01/08/2007;27652;
01/09/2007;29538;
01/10/2007;31055;
01/11/2007;30610;
01/12/2007;25992;
01/01/2008;27690;
01/02/2008;27955;
01/03/2008;31225;
01/04/2008;28763;
01/05/2008;25735;
01/06/2008;22549;
01/07/2008;20160;
01/08/2008;18928;
01/09/2008;17795;
01/10/2008;12140;
01/11/2008;10702;
01/12/2008;9686;
01/01/2009;11307;
01/02/2009;10409;
01/03/2009;9696;
01/04/2009;11166;
01/05/2009;12635;
01/06/2009;14960;
01/07/2009;15985;
01/08/2009;19642;
01/09/2009;17473;
01/10/2009;18525;
01/11/2009;16991;
01/12/2009;17066;
01/01/2010;18439;
01/02/2010;18976;
01/03/2010;22461;
01/04/2010;26031;
01/05/2010;22008;
01/06/2010;19389;
01/07/2010;19518;
01/08/2010;21413;
01/09/2010;22643;
01/10/2010;23807;
01/11/2010;22909;
01/12/2010;24111;
01/01/2011;25646;
01/02/2011;28252;
01/03/2011;26710;
01/04/2011;26408;
01/05/2011;24237;
01/06/2011;22421;
01/07/2011;23848;
01/08/2011;21845;
01/09/2011;20378;
01/10/2011;19039;
01/11/2011;17873;
01/12/2011;18267;
01/01/2012;19855;
01/02/2012;20394;
01/03/2012;18661;
01/04/2012;17940;
01/05/2012;17068;
01/06/2012;16549;
01/07/2012;16128;
01/08/2012;15735;
01/09/2012;17288;
01/10/2012;17169;
01/11/2012;16335;
01/12/2012;17449;
01/01/2013;17473;
01/02/2013;17690;
01/03/2013;16725;
01/04/2013;15673;
01/05/2013;14948;
01/06/2013;14280;
01/07/2013;13750;
01/08/2013;14315;
01/09/2013;13801;
01/10/2013;14118;
01/11/2013;13684;
01/12/2013;13925;
01/01/2014;14101;
01/02/2014;14204;
01/03/2014;15678;
01/04/2014;17374;
01/05/2014;19401;
01/06/2014;18629;
01/07/2014;19118;
01/08/2014;18600;
01/09/2014;18035;
01/10/2014;15812;
01/11/2014;15807;
01/12/2014;15962;
01/01/2015;14849;
01/02/2015;14574;
01/03/2015;13756;
01/04/2015;12831;
01/05/2015;13511;
01/06/2015;12825;
01/07/2015;11413;
01/08/2015;10386;
01/09/2015;9938;
01/10/2015;10317;
01/11/2015;9244;
01/12/2015;8708;
01/01/2016;8507;
01/02/2016;8299;
01/03/2016;8717;
01/04/2016;8879;
01/05/2016;8660;
01/06/2016;8928;
01/07/2016;10263;
01/08/2016;10336;
01/09/2016;10192;
01/10/2016;10260;
01/11/2016;11129;
01/12/2016;10972;
01/01/2017;9971;
01/02/2017;10643;
01/03/2017;10205;
01/04/2017;9609;
01/05/2017;9155;
01/06/2017;8932;
01/07/2017;9491;
01/08/2017;10890;
01/09/2017;11216;
01/10/2017;11336;
01/11/2017;11972;
01/12/2017;11495;
01/01/2018;12865;
01/02/2018;13596;
01/03/2018;13393;
01/04/2018;13938;
01/05/2018;14366;
01/06/2018;15106;
01/07/2018;13794;
01/08/2018;13411;
01/09/2018;12510;
01/10/2018;12315;
01/11/2018;11240;
01/12/2018;10835;
01/01/2019;11523;
01/02/2019;12685;
01/03/2019;13026;
01/04/2019;12773;
01/05/2019;12016;
01/06/2019;11944;
01/07/2019;13546;
01/08/2019;15749;
01/09/2019;17657;
01/10/2019;17046;
01/11/2019;15172;
01/12/2019;13829;
01/01/2020;13507;
01/02/2020;12716;
01/03/2020;11846;
01/04/2020;11804;
01/05/2020;12180;
01/06/2020;12727;
01/07/2020;13402;
01/08/2020;14538;
01/09/2020;14857;
01/10/2020;15239;
01/11/2020;15808;
01/12/2020;16823;
01/01/2021;17863;
01/02/2021;18584;
01/03/2021;16407;
01/04/2021;16521;
01/05/2021;17577;
01/06/2021;17980;
01/07/2021;18819;
01/08/2021;19141;
01/09/2021;19377;
01/10/2021;19362;
01/11/2021;19933;
01/12/2021;20016;
01/01/2022;22355;
01/02/2022;24016;
01/03/2022;33924;
01/04/2022;33133;
01/05/2022;28063;
01/06/2022;25659;
01/07/2022;21482;
01/08/2022;22057;
01/09/2022;22774;
01/10/2022;22033;
01/11/2022;25563;
01/12/2022;28947;
